f1,accuracy,precision,recall,time,first_optimizer_result,second_optimizer_result

0.9239436619718311,0.892,0.9265536723163842,0.9213483146067416,0.004662036895751953,"1, 2, 7, 8, 10, 11, 12, 14, 16, 17, 21, 22, 25, 26, 27, 28, 32, 33, 34, 35, 36, 37, 39, 41, 42, 47, 50, 53, 54, 58, 59, 61, 62, 63, 65, 66, 72, 76","0, 1, 3, 6, 8, 9, 10, 11, 12, 13, 17, 19, 22, 24, 25, 26, 27, 30, 32, 33, 34, 35, 36, 37"
0.8927536231884058,0.852,0.9565217391304348,0.8369565217391305,0.0034470558166503906,"0, 2, 4, 5, 7, 8, 9, 10, 13, 14, 15, 20, 25, 27, 31, 32, 33, 35, 37, 38, 39, 40, 41, 42, 46, 47, 48, 52, 53, 55, 58, 62, 64, 65, 66, 67, 68, 69, 75, 76","0, 1, 3, 4, 6, 7, 9, 10, 11, 17, 19, 21, 23, 25, 26, 27, 28, 29, 30, 31, 33, 37, 38, 39"
0.9021739130434782,0.856,0.9273743016759777,0.8783068783068783,0.0020689964294433594,"5, 6, 8, 11, 12, 13, 15, 19, 20, 21, 25, 26, 27, 29, 30, 31, 34, 35, 38, 39, 40, 41, 44, 45, 53, 54, 55, 58, 59, 60, 65, 66, 70, 72, 74, 76","2, 4, 5, 9, 11, 15, 16, 17, 18, 21, 24, 25, 28, 29, 31, 33"
0.9017341040462428,0.864,0.9176470588235294,0.8863636363636364,0.0025920867919921875,"2, 3, 4, 7, 8, 9, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 32, 33, 35, 37, 38, 40, 41, 42, 43, 44, 47, 49, 50, 51, 53, 54, 55, 57, 60, 62, 64, 65, 66, 67, 68, 70, 71, 72, 73, 74, 76","1, 3, 7, 9, 10, 11, 14, 16, 17, 18, 20, 21, 22, 24, 33, 36, 38, 39, 41, 42, 43, 45, 46, 47, 48, 49, 53, 54"
0.9281767955801105,0.896,0.9438202247191011,0.9130434782608695,0.002146005630493164,"1, 3, 7, 10, 11, 13, 15, 16, 21, 22, 25, 28, 29, 32, 33, 35, 39, 40, 41, 42, 45, 48, 49, 58, 59, 60, 64, 65, 66, 68, 69, 71, 73, 74, 75, 76","0, 1, 3, 6, 9, 10, 12, 18, 19, 27, 32, 34, 35"
0.9101123595505618,0.872,0.9,0.9204545454545454,0.0020689964294433594,"2, 3, 5, 8, 9, 11, 15, 16, 17, 20, 22, 25, 26, 28, 29, 31, 32, 33, 39, 41, 42, 43, 44, 45, 46, 50, 53, 55, 59, 61, 63, 64, 65, 67, 68, 69, 70, 73, 74, 75, 76","0, 1, 3, 9, 11, 15, 21, 22, 26, 27, 31, 34, 35, 37, 40"
0.900804289544236,0.852,0.8842105263157894,0.9180327868852459,0.0014719963073730469,"2, 6, 7, 8, 9, 11, 12, 14, 15, 16, 20, 21, 22, 23, 25, 26, 29, 30, 32, 34, 35, 37, 39, 42, 43, 46, 47, 50, 51, 52, 55, 58, 61, 63, 65, 66, 67, 71, 73, 76","3, 8, 10, 13, 20, 25, 27, 28, 30, 31, 33, 37, 38"
0.9090909090909091,0.872,0.898876404494382,0.9195402298850575,0.0022308826446533203,"0, 4, 5, 8, 9, 11, 12, 13, 18, 23, 25, 26, 27, 30, 34, 37, 42, 44, 45, 46, 47, 48, 50, 51, 52, 53, 59, 60, 61, 63, 64, 65, 68, 71, 72, 73, 74, 76","3, 5, 6, 8, 12, 13, 14, 16, 17, 18, 20, 23, 24, 25, 27, 28, 30, 32"
0.9202127659574467,0.88,0.9251336898395722,0.9153439153439153,0.0014488697052001953,"4, 6, 10, 14, 15, 27, 30, 32, 34, 35, 40, 41, 43, 44, 50, 52, 54, 57, 59, 60, 63, 65, 66, 67","0, 2, 3, 7, 8, 10, 17, 18, 20"
0.9133858267716536,0.868,0.883248730964467,0.9456521739130435,0.0034308433532714844,"3, 6, 9, 11, 12, 14, 25, 30, 32, 35, 36, 39, 42, 43, 48, 49, 50, 51, 52, 53, 54, 55, 58, 59, 62, 64, 65, 68, 69, 70, 71, 73, 74","0, 2, 3, 6, 7, 9, 10, 11, 12, 13, 14, 18, 19, 20, 21, 22, 26, 28, 29"
0.896551724137931,0.856,0.8863636363636364,0.9069767441860465,0.002810955047607422,"4, 7, 8, 10, 11, 14, 17, 21, 22, 24, 25, 28, 29, 30, 31, 36, 39, 40, 41, 43, 46, 47, 49, 53, 59, 62, 64, 65, 67, 68, 69, 74, 76","1, 2, 3, 4, 6, 11, 12, 14, 16, 18, 19, 20, 21, 22, 23, 24, 30, 32"
0.9277777777777778,0.896,0.9488636363636364,0.907608695652174,0.0034139156341552734,"3, 4, 5, 8, 9, 10, 11, 13, 14, 15, 16, 18, 20, 21, 22, 24, 25, 26, 27, 29, 32, 33, 34, 36, 37, 38, 40, 41, 42, 44, 46, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 59, 62, 63, 64, 65, 66, 67, 68, 69, 71, 72, 73, 74, 76","1, 3, 4, 6, 8, 11, 16, 19, 20, 21, 22, 23, 27, 29, 30, 31, 36, 37, 38, 39, 40, 43, 44, 45, 46, 47, 48, 49, 52, 53, 54"
