Protocol,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Botnet
6,20659246,8,7,4141.0,3993.0,1452.0,0.0,517.625,672.2915901176045,1452.0,0.0,570.4285714285714,721.6656329036915,393.72201676673,0.7260671565651525,1475660.4285714286,5256977.72171071,19738412.0,88.0,920834.0,131547.7142857143,147378.83427040928,387203.0,88.0,20523738.0,3420623.0,8047128.525517858,19846106.0,1383.0,0,0,0,0,168,148,0.387235816834748,0.3388313397304044,0.0,1452.0,508.375,662.0535602703657,438314.9166666667,1,2,0,3,14,0,0,0,0.0,542.2666666666667,517.625,570.4285714285714,0,0,0,8134,7,12015,8,4141,7,3993,65535,65340,4,20,920834.0,0.0,920834.0,920834.0,19738412.0,0.0,19738412.0,19738412.0,1
6,347173,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7608166533687815,347173.0,0.0,347173.0,347173.0,347173.0,347173.0,0.0,347173.0,347173.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,5.7608166533687815,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64446,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6,21010884,5,4,1149.0,543.0,957.0,0.0,229.8,414.9315606217488,543.0,0.0,135.75,271.5,80.52969118291263,0.4283494211857054,2626360.5,6973304.159347439,19867138.0,112.0,1143746.0,285936.5,545713.6588923413,1104036.0,112.0,20971980.0,6990660.0,11265689.223906407,19989701.0,61659.0,0,0,0,0,108,88,0.2379719006587252,0.1903775205269802,0.0,957.0,169.2,326.8155443059586,106808.39999999998,1,2,0,3,8,0,0,0,0.0,188.0,229.8,135.75,0,0,0,0,0,0,5,1149,4,543,65535,64386,2,20,1143746.0,0.0,1143746.0,1143746.0,19867138.0,0.0,19867138.0,19867138.0,1
6,39823630,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0502214388793788,39823630.0,0.0,39823630.0,39823630.0,39823630.0,39823630.0,0.0,39823630.0,39823630.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,0.0502214388793788,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,64992,0,0,20,0.0,0.0,0.0,0.0,39823630.0,0.0,39823630.0,39823630.0,1
6,88739,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.538004710442983,88739.0,0.0,88739.0,88739.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,28,20,11.269002355221492,11.269002355221492,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,65535,0,0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6,88119,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.69658076010849,88119.0,0.0,88119.0,88119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,28,20,11.348290380054245,11.348290380054245,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,65535,0,0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6,94416,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.182850364345025,94416.0,0.0,94416.0,94416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,28,20,10.591425182172513,10.591425182172513,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,65535,0,0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
17,109815377,8,7,179.0,480.0,25.0,4.0,22.375,7.424621202458749,464.0,2.0,68.57142857142857,174.3739823318998,6.000981083004432,0.1365928926328778,7843955.500000001,14914867.247996328,56017697.0,13.0,108442821.0,15491831.57142857,19170444.92746301,56635889.0,13.0,109301117.0,18216852.83333333,24658557.84550971,57401955.0,1573.0,0,0,0,0,64,56,0.0728495427375348,0.0637433498953429,2.0,464.0,42.75000000000001,112.87958185606466,12741.8,0,0,0,0,0,0,0,0,0.0,45.6,22.375,68.57142857142857,0,0,0,528,7,466,1,22,0,60,0,0,7,8,1284682.0,133656.30571357268,1384258.0,1132779.0,20917755.0,19744242.366453152,56017697.0,9755989.0,1
17,108572906,9,6,204.0,936.0,25.0,4.0,22.666666666666668,7.0,464.0,2.0,156.0,238.57577412637687,10.499857119049572,0.1381560147243364,7755207.571428573,15343849.766158,56903826.0,28.0,108442480.0,13555310.0,18719938.70143869,57009989.0,28.0,108433075.0,21686615.0,25626818.6771756,57045166.0,106505.0,0,0,0,0,72,48,0.0828936088346018,0.0552624058897345,2.0,464.0,72.81250000000001,153.0626097386295,23428.1625,0,0,0,0,0,0,0,0,0.0,77.66666666666667,22.666666666666668,156.0,0,0,0,518,4,1830,1,40,1,187,0,0,8,8,234582.66666666663,91505.87673659727,319644.0,137768.0,21547746.4,19880885.68155353,56903826.0,10202195.0,1
17,114000416,8,5,179.0,472.0,25.0,4.0,22.375,7.424621202458749,464.0,2.0,94.4,206.61268112098057,5.7105054774536965,0.1140346715927773,9500034.666666668,14739966.089216407,54138836.0,13.0,108442457.0,15491779.57142857,18634911.10343497,55531820.0,13.0,112382435.0,28095608.75,26906851.239124924,59987434.0,1393322.0,0,0,0,0,64,40,0.0701751825186322,0.0438594890741451,2.0,464.0,48.28571428571428,120.15594263061048,14437.450549450554,0,0,0,0,0,0,0,0,0.0,52.0,22.375,94.4,0,0,0,0,0,0,0,17,0,47,0,0,7,8,3011303.0,0.0,3011303.0,3011303.0,13873639.125,16598448.033415273,54138836.0,5307826.0,1
